timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples,sim_rbf_gaze_x,sim_rbf_gaze_y,sim_pwa_gaze_x,sim_pwa_gaze_y,sim_gpr_gaze_x,sim_gpr_gaze_y,subject_name
2025-11-28T15:43:41.992,27,1644,666,1563.7118644067796,791.0084745762712,1619,786,1634,786,-80,125,-25,120,-10,120,46.51,118,1640.6464489901696,767.4539096228732,1654.741640478391,772.3717026674349,1640.840220666324,771.0829514476253,Liu Jiaqi
2025-11-28T15:43:48.405,8,404,481,483.1465517241379,566.2241379310345,437,533,404,521,79,85,33,52,0,40,69.99,116,413.10280919495455,514.9855640045581,407.51925845221956,506.32335335392185,412.8620620246369,512.3491314920092,Liu Jiaqi
2025-11-28T15:43:54.806,31,1178,852,1118.8333333333333,907.9083333333332,1113,932,1101,914,-59,55,-65,80,-77,62,31.37,120,1107.2961896512095,912.6889545964993,1115.956954140134,935.9827411443375,1104.0590168154765,916.2344843621927,Liu Jiaqi
2025-11-28T15:44:01.212,0,1683,106,1609.4756097560976,234.7926829268293,1633,196,1765,55,-73,128,-50,90,82,-51,93.84,82,1700.173326847161,102.6220353997463,1741.0,132.0,1688.4265752895944,107.34847765230245,Liu Jiaqi
2025-11-28T15:44:07.616,6,1158,396,1188.2695652173911,499.5304347826087,1174,479,1183,483,30,103,16,83,25,87,33.52,115,1189.6971167952054,467.19591564144235,1173.9608315858911,462.155369439555,1194.899600136781,471.7830870635161,Liu Jiaqi
2025-11-28T15:44:14.021,1,426,364,482.6890756302521,560.3949579831933,437,528,404,515,56,196,11,164,-22,151,71.93,119,412.54402652560265,508.8941772974721,407.03987894099447,500.62484467987696,412.2547805636103,506.31054832692,Liu Jiaqi
2025-11-28T15:44:20.437,24,1737,768,1673.4166666666667,836.9916666666667,1735,825,1774,825,-63,68,-2,57,37,57,36.23,120,1772.1185018491797,805.8238319862443,1741.0,596.0,1768.3075003670701,812.3745738942898,Liu Jiaqi
2025-11-28T15:44:26.839,19,1586,140,1579.1880341880342,236.32478632478632,1602,199,1721,70,-6,96,16,59,135,-70,30.11,117,1664.31719255394,108.72708892895326,1741.0,132.0,1654.5403912946542,112.21237009452204,Liu Jiaqi
2025-11-28T15:44:33.240,29,1242,809,1225.627118644068,871.5677966101695,1230,889,1223,882,-16,62,-12,80,-19,73,39.37,118,1233.9446874199,877.1877787754337,1255.6969104111913,894.2481067968861,1233.9543884885834,882.8274841924688,Liu Jiaqi
2025-11-28T15:44:39.656,18,1768,363,1686.657894736842,468.4736842105263,1728,436,1822,371,-81,105,-40,73,54,8,43.54,114,1784.4546157693485,371.4054683220429,1741.0,132.0,1775.8903679842683,373.8260759099008,Liu Jiaqi
2025-11-28T15:44:46.057,22,1215,132,1222.3103448275865,239.22413793103448,1251,196,1251,160,7,107,36,64,36,28,39.14,116,1249.6760583990228,159.09049753363405,1270.4638292747811,168.67466531858082,1249.0835682576426,159.9195747092939,Liu Jiaqi
2025-11-28T15:44:52.461,28,552,167,583.9909090909091,265.44545454545454,544,229,519,209,31,98,-8,62,-33,42,27.58,110,523.096283686273,195.51350006277892,519.6692743838584,196.51736495874502,521.6957309668653,195.1181147346706,Liu Jiaqi
2025-11-28T15:44:58.875,3,495,691,532.7017543859649,711.9122807017544,471,665,457,671,37,20,-24,-26,-38,-20,37.98,114,465.8322557769741,667.018675266219,458.358253706672,652.3956640666454,466.04773559539285,662.980938853879,Liu Jiaqi
2025-11-28T15:45:05.282,14,571,249,638.4745762711865,307.2881355932203,602,275,575,260,67,58,31,26,4,11,31.4,118,579.92665853239,243.61789354733992,575.3292638117072,243.4025301761713,579.4649168642986,243.3092703358619,Liu Jiaqi
2025-11-28T15:45:11.686,4,1123,553,1088.4830508474577,589.8559322033898,1068,589,1063,585,-34,36,-55,36,-60,32,36.12,118,1071.2906330926212,573.3745506742971,1062.508002861089,574.866854228759,1073.3156129436472,579.3943578393843,Liu Jiaqi
2025-11-28T15:45:18.101,10,542,396,635.5546218487395,438.7563025210084,597,412,566,403,93,42,55,16,24,7,35.62,119,571.7539185896829,387.7016995396085,566.9267441297884,387.03656497245913,571.0052511834973,387.0003010154057,Liu Jiaqi
2025-11-28T15:53:29.643,4,469,971,465.1525423728813,946.457627118644,459,990,495,999,-3,-24,-10,19,26,28,37.01,118,471.4283672521115,1000.2915985210991,477.5030335592544,1008.4910440581775,456.21562444992213,1010.2153743869408,Liu Jiaqi
2025-11-28T15:53:36.051,8,1741,132,1753.2543859649122,180.1929824561404,1756,171,1769,153,12,48,15,39,28,21,44.88,114,1761.4610228036433,153.14067057160872,1741.0,132.0,1757.854502391787,167.29346835012902,Liu Jiaqi
2025-11-28T15:53:42.455,2,1741,596,1789.949152542373,698.957627118644,1790,699,1793,684,48,102,49,103,52,88,51.6,118,1811.8631008783202,686.8830797825403,1741.0,596.0,1794.3269875984704,701.5064223806918,Liu Jiaqi
2025-11-28T15:53:48.863,5,1759,659,1827.82905982906,744.9487179487179,1826,741,1832,728,68,85,67,82,73,69,22.21,117,1851.055458637261,731.4868248242722,1741.0,596.0,1836.8871138002207,742.6974578842793,Liu Jiaqi
2025-11-28T15:53:55.271,22,1215,596,1210.6666666666667,606.2136752136752,1231,610,1221,614,-4,10,16,14,6,18,34.95,117,1243.7374175661332,612.0812395759327,1241.7498923095416,612.3122307059924,1242.9778953418395,611.5957526935551,Liu Jiaqi
2025-11-28T15:54:01.676,1,699,410,726.70796460177,412.9026548672566,726,404,718,415,27,2,27,-6,19,5,21.66,113,719.9891664284992,411.0145788830333,722.8144949285708,403.88602305277874,731.2481242726199,399.96769259955727,Liu Jiaqi
2025-11-28T15:54:08.086,27,1610,135,1646.6,152.69166666666666,1654,137,1668,127,36,17,44,2,58,-8,22.39,120,1655.3572406272422,125.15197166096215,1653.4164495627958,137.58478356657795,1653.5428489263372,133.9421870429127,Liu Jiaqi
2025-11-28T15:54:14.502,31,1281,347,1249.2941176470588,392.11764705882354,1266,375,1257,387,-31,45,-15,28,-24,40,27.73,119,1271.0084279092541,379.65271211856606,1273.26618108267,375.6025608413354,1274.2844310273858,363.3063986806833,Liu Jiaqi
2025-11-28T15:54:20.912,7,1643,576,1629.3983050847455,593.9661016949152,1639,593,1634,585,-13,17,-4,17,-9,9,37.0,118,1652.5140312427184,584.7027269041038,1644.7214931871092,590.6148603779186,1640.4851051122926,590.7259508768194,Liu Jiaqi
2025-11-28T15:54:27.316,12,340,171,354.10169491525426,213.84745762711864,341,194,324,187,14,42,1,23,-16,16,25.05,118,327.11724202119547,194.86465184698955,337.64638247368964,188.21299583950406,342.02878593477527,187.0956847358932,Liu Jiaqi
2025-11-28T15:54:33.724,13,948,208,915.008849557522,247.424778761062,919,239,922,235,-32,39,-29,31,-26,27,28.43,113,918.1745170633953,231.57367381127577,920.3464903586458,233.76264809988044,919.9382698380508,239.06668144302645,Liu Jiaqi
2025-11-28T15:54:40.132,29,771,115,759.4789915966387,162.45378151260505,755,140,766,140,-11,47,-16,25,-5,25,22.26,119,752.4555051664638,139.89515429380413,755.719073744002,137.03616055851916,754.2371352664713,138.38135391572993,Liu Jiaqi
2025-11-28T15:54:46.543,9,904,963,856.7394957983194,952.1344537815128,873,988,904,991,-47,-10,-31,25,0,28,52.63,119,889.9898451380319,1001.1731471785836,890.0350185991448,1011.9262956332512,891.1068419619572,1014.6232353427137,Liu Jiaqi
2025-11-28T15:54:52.962,28,519,856,520.4583333333334,847.4416666666667,498,887,535,890,1,-8,-21,31,16,34,29.85,120,516.5354992030941,893.7205423802318,496.5749780851979,903.3007688407353,493.57387427219174,905.1380498450675,Liu Jiaqi
2025-11-28T15:54:59.364,18,1147,241,1134.81512605042,269.0504201680672,1146,259,1147,258,-12,28,-1,18,0,17,26.69,119,1148.4395996150351,252.02558594448797,1150.8720949594294,257.42840342558156,1150.915871368215,256.34649459904404,Liu Jiaqi
