subject,model,mean_error,variance
subject_012,"rbf[multiquadric,s=2.0]",112.28025641527908,5642.517350855564
subject_012,tps,71.80156240654615,3186.1670073021555
subject_012,pwa,75.39402287868876,5824.8305115983685
subject_012,gpr,64.8333533332955,1801.705497059408
subject_012,"sim+rbf[thin_plate,s=1.0]",72.68352473973867,3365.1880277519176
subject_012,"sim+rbf[multiquadric,s=0.0]",75.67604374732201,3424.6544156148916
subject_012,"sim+rbf[multiquadric,s=1.0]",63.06286731137598,2252.222247106075
subject_012,"sim+rbf[multiquadric,s=2.0]",64.55867310814213,2196.110636422847
subject_012,sim+tps,71.80156243711644,3186.16701028373
subject_012,sim+pwa,75.39402287868879,5824.8305115983685
subject_012,sim+gpr,68.02658009546722,2530.95926168962
