target_x,target_y,original_gaze_x,original_gaze_y,sim_rbf_gaze_x,sim_rbf_gaze_y
1411,556,1319.1214953271028,647.4672897196261,1395.770284925766,559.8583240193025
1559,724,1485.906779661017,855.2372881355932,1585.4105900837174,787.8136392424624
1816,899,1708.4700854700857,771.5641025641025,1786.700984743345,766.7398970737123
679,627,731.0796460176991,556.858407079646,722.2017111141255,587.8283371371684
294,301,359.25,344.32142857142856,286.04450704875376,300.45415768451437
1555,928,1496.7413793103449,948.5258620689656,1570.078686097247,971.0848790038592
982,677,941.6416666666668,596.625,935.3700522618832,635.9786890397636
1611,936,1570.796460176991,979.5575221238938,1698.7941593808634,992.1574241681318
1449,695,1384.2735042735044,683.6324786324786,1416.659604187873,677.5404822832334
1070,716,1081.7203389830509,728.7033898305085,1074.5610285459838,751.0571124734263
177,738,-4.476190476190476,803.2952380952381,169.23969921734556,785.6316256588924
1785,688,1704.7179487179487,707.6410256410256,1756.823099354707,690.5426705133957
508,692,486.0336134453781,671.3529411764706,513.7663587690639,690.1820088003348
1523,827,1455.4789915966387,729.4957983193277,1527.6248426680977,789.6754538181954
861,393,864.7606837606837,415.8290598290598,825.6449910440504,359.76459221290054
449,219,431.0336134453781,251.15126050420167,452.5079444836799,240.3727730455817
1344,283,1332.4513274336284,333.8053097345133,1323.5384055725335,294.0691515524463
477,727,537.1864406779661,671.2372881355932,492.5942886027292,716.6114838438268
1158,396,1188.2695652173911,499.5304347826087,1189.6971167952054,467.1959156414423
1652,765,1595.025,739.6833333333333,1648.6955719931573,737.158647300427
1344,445,1421.8316831683169,463.13861386138615,1387.752445451953,406.74156556843457
1814,187,1774.033898305085,253.6779661016949,1785.1191501451326,205.1654110870432
1753,506,1695.2941176470588,541.1596638655462,1745.3777547594243,541.0912659962884
550,880,599.5882352941177,901.8655462184872,580.3457268164565,901.7294195193264
593,775,618.3247863247864,748.5555555555555,610.8761501918209,747.0446704373852
1022,187,969.2685185185184,324.52777777777777,970.9330375174652,252.53360930539444
446,793,490.5431034482759,765.6293103448276,461.4370143787809,805.8662636958137
1352,480,1335.6134453781513,469.655462184874,1356.211094661187,503.0163133979587
448,478,564.6470588235294,456.4033613445378,481.5070501659585,450.5668394052397
694,455,657.5555555555555,494.4188034188034,666.0671578798091,491.3765416533334
1294,450,1266.2260869565218,481.45217391304345,1272.147781251987,448.7986373078529
1285,160,1223.3813559322034,206.9067796610169,1314.09686096293,215.8072962498765
898,169,932.842105263158,186.92105263157896,913.061456116405,196.467112321886
