timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples,sim_rbf_gaze_x,sim_rbf_gaze_y,sim_pwa_gaze_x,sim_pwa_gaze_y,sim_gpr_gaze_x,sim_gpr_gaze_y,subject_name,distance,is_outlier
2025-11-26T23:35:16.180,27,689,596,759.2268907563025,534.5210084033613,729,526,696,500,70,-61,40,-70,7,-96,28.55,119,716.449289636652,524.063535899064,712.2944498035412,523.5242648545525,706.3317762323575,527.3009740160979,subject_006,93.33532339386424,False
2025-11-26T23:36:33.054,26,163,1060,224.14529914529916,888.5555555555555,173,924,111,1102,61,-171,10,-136,-52,42,52.9,117,141.1047527780301,1024.315451130428,163.0,1060.0,130.71550033405472,1015.3402557102194,subject_006,182.0218259946656,False
2025-11-26T23:49:22.402,4,1215,1060,1147.117117117117,986.1171171171172,1179,1025,1221,1053,-67,-73,-36,-35,6,-7,49.46,111,1188.1440259176866,1040.3003710488072,1219.6368313648834,1055.5286703477682,1181.6013232429314,1054.9608453045696,subject_006,100.3332754951067,False
2025-11-26T23:50:26.467,26,1741,132,1738.6050420168067,166.1344537815126,1753,181,1778,177,-2,34,12,49,37,45,33.73,119,1776.8041827453462,171.69330476643216,1741.0,132.0,1790.9906457042614,185.67646895750275,subject_006,34.21836873235604,False
2025-11-26T23:51:04.865,29,952,828,892.4464285714286,757.0803571428571,887,801,911,806,-59,-70,-65,-27,-41,-22,28.04,112,905.5054376320066,816.8480823127796,885.2316824459275,824.7521706965045,910.2752089895648,823.8214708781007,subject_006,92.6079025401324,False
2025-11-26T23:51:36.890,24,426,364,442.11764705882354,352.69747899159665,403,362,427,364,16,-11,-23,-2,1,0,20.35,119,427.4560911952838,370.1057016981308,398.4572591564463,364.3417800774031,430.5044905605608,361.9532322726023,subject_006,19.685668082597605,False
2025-11-27T16:35:08.333,20,1215,1060,1148.2347826086957,1107.0608695652174,1180,1134,1206,1069,-66,47,-35,74,-9,9,40.97,115,1184.951364276386,1078.4864337433703,1215.0,1060.0,1183.128975656687,1053.444300023919,subject_006,81.68426836020834,False
2025-11-27T16:36:25.193,25,1478,828,1476.7457627118645,998.271186440678,1483,921,1516,975,-1,170,5,93,38,147,55.05,118,1497.2801758342705,943.8955862296935,1487.5670337943866,871.6092211796122,1496.6843385540485,936.3432511909758,subject_006,170.27580580661208,False
2025-11-27T16:37:22.848,18,1478,364,1495.5,516.4814814814815,1471,428,1469,436,17,152,-7,64,-9,72,37.14,108,1474.754859038422,436.810193236476,1455.79652657277,387.6474813043345,1472.9535938267734,442.4498049989268,subject_006,153.48241656550562,False
2025-11-27T16:49:09.471,31,163,132,194.6293103448276,208.5,154,166,154,145,31,76,-9,34,-9,13,22.13,116,143.5953520398088,160.94061275621186,163.0,132.0,142.3385006894871,159.53517885220475,subject_006,82.78081464258139,False
